benchmark	vcnf_status	vcnf_time	vampire_status	vampire_time	cvc4_status	cvc4_time	z3_status	z3_time
UF_grasshopper_instantiated_rec_filter_postcondition_of_rec_filter_26_1.smt2	Unsatisfiable	0.0311	Unsatisfiable	0.01868	unsat	0.0094	0.0094	unsat	0.034981
UF_grasshopper_instantiated_rec_filter_precondition_of_rec_filter_18_10.smt2	Unsatisfiable	0.0289	Unsatisfiable	0.0282571	unsat	0.0188	0.0188	unsat	0.0401331
UF_grasshopper_instantiated_rec_filter_precondition_of_rec_filter_24_11.smt2	Unsatisfiable	0.0315	Unsatisfiable	0.0301349	unsat	0.0224	0.0224	unsat	0.0408621
UF_grasshopper_instantiated_rec_insert_check_heap_access_18_6.smt2	Unsatisfiable	0.0231	Unsatisfiable	0.0197191	unsat	0.0192	0.0192	unsat	0.0398379
UF_grasshopper_instantiated_rec_insert_check_heap_access_22_6.smt2	Unsatisfiable	0.0243	Unsatisfiable	0.0215239	unsat	0.0206	0.0206	unsat	0.040501
UF_grasshopper_instantiated_rec_insert_check_heap_access_24_6.smt2	Unsatisfiable	0.1237	Unsatisfiable	0.05672	unsat	0.1072	0.1072	unsat	0.123084
UF_grasshopper_instantiated_rec_insert_postcondition_of_rec_insert_14_4.smt2	Unsatisfiable	0.0281	Unsatisfiable	0.0284091	unsat	0.0287	0.0287	unsat	0.0429641
UF_grasshopper_instantiated_rec_insert_postcondition_of_rec_insert_19_6.smt2	Unsatisfiable	0.0630	Unsatisfiable	0.693711	unsat	0.0562	0.0562	unsat	0.0484981
UF_grasshopper_instantiated_rec_insert_postcondition_of_rec_insert_25_6.smt2	Unsatisfiable	2.0233	Unsatisfiable	2.0115	unsat	0.7408	0.7408	unsat	0.361177
UF_grasshopper_instantiated_rec_insert_postcondition_of_rec_insert_27_3.smt2	Unsatisfiable	0.0319	Unsatisfiable	0.0155701	unsat	0.0098	0.0098	unsat	0.0348999
UF_grasshopper_instantiated_rec_insert_precondition_of_rec_insert_23_12.smt2	Unsatisfiable	0.0303	Unsatisfiable	0.0321999	unsat	0.0271	0.0271	unsat	0.0419709
